observation_date,CPIAUCNS,GS10,GS5,GS30,GS2,GS1M,GS20,GS3M,GS3,FII5,GS7,FII30,GS1,GS5-FII5
1953-04-01,26.6,2.83,2.62,,,,3.08,,2.51,,,,2.36,
1953-05-01,26.7,3.05,2.87,,,,3.18,,2.72,,,,2.48,
1953-06-01,26.8,3.11,2.94,,,,3.21,,2.74,,,,2.45,
1953-07-01,26.8,2.93,2.75,,,,3.12,,2.62,,,,2.38,
1953-08-01,26.9,2.95,2.8,,,,3.1,,2.58,,,,2.28,
1953-09-01,26.9,2.87,2.71,,,,3.07,,2.56,,,,2.2,
1953-10-01,27.0,2.66,2.43,,,,2.95,,2.23,,,,1.79,
1953-11-01,26.9,2.68,2.42,,,,2.95,,2.2,,,,1.67,
1953-12-01,26.9,2.59,2.32,,,,2.89,,2.07,,,,1.66,
1954-01-01,26.9,2.48,2.17,,,,2.8,,1.89,,,,1.41,
1954-02-01,26.9,2.47,2.04,,,,2.72,,1.63,,,,1.14,
1954-03-01,26.9,2.37,1.93,,,,2.61,,1.59,,,,1.13,
1954-04-01,26.8,2.29,1.87,,,,2.6,,1.54,,,,0.96,
1954-05-01,26.9,2.37,1.92,,,,2.66,,1.56,,,,0.85,
1954-06-01,26.9,2.38,1.92,,,,2.64,,1.53,,,,0.82,
1954-07-01,26.9,2.3,1.85,,,,2.57,,1.47,,,,0.84,
1954-08-01,26.9,2.36,1.9,,,,2.58,,1.49,,,,0.88,
1954-09-01,26.8,2.38,1.96,,,,2.6,,1.6,,,,1.03,
1954-10-01,26.8,2.43,2.02,,,,2.61,,1.72,,,,1.17,
1954-11-01,26.8,2.48,2.09,,,,2.65,,1.75,,,,1.14,
1954-12-01,26.7,2.51,2.16,,,,2.67,,1.81,,,,1.21,
1955-01-01,26.7,2.61,2.32,,,,2.75,,1.99,,,,1.39,
1955-02-01,26.7,2.65,2.38,,,,2.83,,2.12,,,,1.57,
1955-03-01,26.7,2.68,2.48,,,,2.84,,2.26,,,,1.59,
1955-04-01,26.7,2.75,2.55,,,,2.85,,2.37,,,,1.75,
1955-05-01,26.7,2.76,2.56,,,,2.87,,2.37,,,,1.9,
1955-06-01,26.7,2.78,2.59,,,,2.86,,2.39,,,,1.91,
1955-07-01,26.8,2.9,2.72,,,,2.94,,2.51,,,,2.02,
1955-08-01,26.8,2.97,2.86,,,,3.01,,2.72,,,,2.37,
1955-09-01,26.9,2.97,2.85,,,,3.0,,2.69,,,,2.36,
1955-10-01,26.9,2.88,2.76,,,,2.93,,2.62,,,,2.39,
1955-11-01,26.9,2.89,2.81,,,,2.93,,2.73,,,,2.48,
1955-12-01,26.8,2.96,2.93,,,,2.98,,2.88,,,,2.73,
1956-01-01,26.8,2.9,2.84,,,,2.94,,2.78,,,,2.58,
1956-02-01,26.8,2.84,2.74,,,,2.91,,2.67,,,,2.49,
1956-03-01,26.8,2.96,2.93,,,,2.99,,2.89,,,,2.61,
1956-04-01,26.9,3.18,3.2,,,,3.14,,3.19,,,,2.92,
1956-05-01,27.0,3.07,3.08,,,,3.06,,3.08,,,,2.94,
1956-06-01,27.2,3.0,2.97,,,,3.0,,2.95,,,,2.74,
1956-07-01,27.4,3.11,3.12,,,,3.08,,3.06,,,,2.76,
1956-08-01,27.3,3.33,3.41,,,,3.22,,3.39,,,,3.1,
1956-09-01,27.4,3.38,3.47,,,,3.28,,3.5,,,,3.35,
1956-10-01,27.5,3.34,3.4,,,,3.26,,3.4,,,,3.28,
1956-11-01,27.5,3.49,3.56,,,,3.37,,3.57,,,,3.44,
1956-12-01,27.6,3.59,3.7,,,,3.45,,3.76,,,,3.68,
1957-01-01,27.6,3.46,3.47,,,,3.41,,3.46,,,,3.37,
1957-02-01,27.7,3.34,3.39,,,,3.3,,3.42,,,,3.38,
1957-03-01,27.8,3.41,3.46,,,,3.32,,3.47,,,,3.42,
1957-04-01,27.9,3.48,3.53,,,,3.4,,3.53,,,,3.49,
1957-05-01,28.0,3.6,3.64,,,,3.49,,3.61,,,,3.48,
1957-06-01,28.1,3.8,3.83,,,,3.65,,3.8,,,,3.65,
1957-07-01,28.3,3.93,4.0,,,,3.72,,3.96,,,,3.81,
1957-08-01,28.3,3.93,4.0,,,,3.75,,4.02,,,,4.01,
1957-09-01,28.3,3.92,4.03,,,,3.73,,4.06,,,,4.07,
1957-10-01,28.3,3.97,4.08,,,,3.76,,4.09,,,,4.01,
1957-11-01,28.4,3.72,3.72,,,,3.61,,3.7,,,,3.57,
1957-12-01,28.4,3.21,3.08,,,,3.38,,3.11,,,,3.18,
1958-01-01,28.6,3.09,2.88,,,,3.27,,2.78,,,,2.65,
1958-02-01,28.6,3.05,2.78,,,,3.31,,2.58,,,,1.99,
1958-03-01,28.8,2.98,2.64,,,,3.29,,2.4,,,,1.84,
1958-04-01,28.9,2.88,2.46,,,,3.17,,2.15,,,,1.45,
1958-05-01,28.9,2.92,2.41,,,,3.17,,2.07,,,,1.37,
1958-06-01,28.9,2.97,2.46,,,,3.23,,2.08,,,,1.23,
1958-07-01,29.0,3.2,2.77,,,,3.39,,2.42,,,,1.61,
1958-08-01,28.9,3.54,3.29,,,,3.65,,3.06,,,,2.5,
1958-09-01,28.9,3.76,3.69,,,,3.8,,3.52,,,,3.05,
1958-10-01,28.9,3.8,3.78,,,,3.81,,3.67,,,,3.19,
1958-11-01,29.0,3.74,3.7,,,,3.76,,3.6,,,,3.1,
1958-12-01,28.9,3.86,3.82,,,,3.86,,3.72,,,,3.29,
1959-01-01,29.0,4.02,4.01,,,,3.95,,3.91,,,,3.36,
1959-02-01,28.9,3.96,3.96,,,,3.96,,3.92,,,,3.54,
1959-03-01,28.9,3.99,3.99,,,,3.99,,3.97,,,,3.61,
1959-04-01,29.0,4.12,4.12,,,,4.06,,4.03,,,,3.72,
1959-05-01,29.0,4.31,4.35,,,,4.13,,4.25,,,,3.96,
1959-06-01,29.1,4.34,4.5,,,,4.14,,4.52,,,,4.07,
1959-07-01,29.2,4.4,4.58,,,,4.16,,4.6,,,,4.39,
1959-08-01,29.2,4.43,4.57,,,,4.15,,4.6,,,,4.42,
1959-09-01,29.3,4.68,4.9,,,,4.29,,4.97,,,,5.0,
1959-10-01,29.4,4.53,4.72,,,,4.19,,4.78,,,,4.8,
1959-11-01,29.4,4.53,4.75,,,,4.2,,4.85,,,,4.81,
1959-12-01,29.4,4.69,5.01,,,,4.33,,5.12,,,,5.14,
1960-01-01,29.3,4.72,4.92,,,,4.42,,4.99,,,,5.03,
1960-02-01,29.4,4.49,4.69,,,,4.28,,4.73,,,,4.66,
1960-03-01,29.4,4.25,4.31,,,,4.14,,4.29,,,,4.02,
1960-04-01,29.5,4.28,4.29,,,,4.23,,4.27,,,,4.04,
1960-05-01,29.5,4.35,4.49,,,,4.2,,4.46,,,,4.21,
1960-06-01,29.6,4.15,4.12,,,,4.04,,4.01,,,,3.36,
1960-07-01,29.6,3.9,3.79,,,,3.91,,3.63,,,,3.2,
1960-08-01,29.6,3.8,3.62,,,,3.84,,3.41,,,,2.95,
1960-09-01,29.6,3.8,3.61,,,,3.86,,3.43,,,,3.07,
1960-10-01,29.8,3.89,3.76,,,,3.92,,3.53,,,,3.04,
1960-11-01,29.8,3.93,3.81,,,,3.96,,3.6,,,,3.08,
1960-12-01,29.8,3.84,3.67,,,,3.91,,3.42,,,,2.86,
1961-01-01,29.8,3.84,3.67,,,,3.9,,3.39,,,,2.81,
